Datum;Gemeinde;Geschlecht;Staatsangehoerigkeit;Anzahl;Jahr;Wohnviertel-Name;Wohnviertel-ID
31. Dezember 2019;Basel;M;Slowakei;33;2019;Matthäus;17
31. Dezember 2019;Basel;M;Südafrika;1;2019;Matthäus;17
31. Dezember 2019;Basel;M;Vietnam;11;2019;Matthäus;17
31. Dezember 2019;Basel;W;Aserbaidschan;1;2019;Matthäus;17
31. Dezember 2019;Basel;W;Dominikanische Republik;26;2019;Matthäus;17
31. Dezember 2019;Basel;W;Griechenland;21;2019;Matthäus;17
31. Dezember 1985;Basel;M;Jordanien;5;1985;Matthäus;17
31. Dezember 1985;Basel;M;Cabo Verde;1;1985;Matthäus;17
31. Dezember 1985;Basel;M;China;1;1985;Matthäus;17
31. Dezember 1985;Basel;M;Griechenland;5;1985;Matthäus;17
31. Dezember 1985;Basel;M;Kongo (Kinshasa);1;1985;Matthäus;17
31. Dezember 1985;Basel;M;Liechtenstein;2;1985;Matthäus;17
31. Dezember 1993;Basel;M;Afghanistan;2;1993;Matthäus;17
31. Dezember 1993;Basel;M;Chile;5;1993;Matthäus;17
31. Dezember 1993;Basel;M;Kolumbien;4;1993;Matthäus;17
31. Dezember 1993;Basel;M;Spanien;438;1993;Matthäus;17
31. Dezember 1993;Basel;W;Kroatien;117;1993;Matthäus;17
31. Dezember 2016;Basel;M;Finnland;6;2016;Matthäus;17
31. Dezember 2016;Basel;M;Jemen;4;2016;Matthäus;17
31. Dezember 2016;Basel;M;Türkei;432;2016;Matthäus;17
31. Dezember 2016;Basel;W;Dominica;1;2016;Matthäus;17
31. Dezember 2016;Basel;W;Irland;6;2016;Matthäus;17
31. Dezember 2011;Basel;M;Grenada;1;2011;Matthäus;17
31. Dezember 2011;Basel;W;Ghana;1;2011;Matthäus;17
31. Dezember 2011;Basel;W;Haiti;1;2011;Matthäus;17
31. Dezember 2011;Basel;W;Ukraine;11;2011;Matthäus;17
31. Dezember 2011;Basel;M;Simbabwe;6;2011;Matthäus;17
31. Dezember 2011;Basel;W;Belarus;1;2011;Matthäus;17
31. Dezember 2019;Basel;M;Guatemala;1;2019;Matthäus;17
31. Dezember 2019;Basel;M;Irak;21;2019;Matthäus;17
31. Dezember 2019;Basel;M;Kasachstan;1;2019;Matthäus;17
31. Dezember 2019;Basel;M;Lettland;5;2019;Matthäus;17
31. Dezember 2019;Basel;M;Myanmar;4;2019;Matthäus;17
31. Dezember 2019;Basel;M;Pakistan;9;2019;Matthäus;17
31. Dezember 2019;Basel;W;Bolivien;4;2019;Matthäus;17
31. Dezember 2019;Basel;W;Finnland;3;2019;Matthäus;17
31. Dezember 1995;Basel;M;Tschechoslowakei;5;1995;Matthäus;17
31. Dezember 2005;Basel;M;Ecuador;7;2005;Matthäus;17
31. Dezember 2005;Basel;W;Jamaika;2;2005;Matthäus;17
31. Dezember 2005;Basel;W;Kamerun;15;2005;Matthäus;17
31. Dezember 2005;Basel;W;Slowakei;8;2005;Matthäus;17
31. Dezember 2005;Basel;W;Vereinigte Staaten;30;2005;Matthäus;17
